_ --> 'hasCORS': false,$178$178$1,0$1,0$1,0$00:00:04,244
_ --> this.setState({routerClasses: 'page-current'});$4$4$1,0$1,0$1,0$00:00:05,082
var attr = new core.Attr(name, value); --> var attr = this.ownerDocument.createAttribute(name, value);$1$1$1,0$1,0$1,0$00:00:04,923
change_skin('skin-blue-light'); --> _$1$1$1,0$1,0$1,0$00:00:04,572
position: relative; --> _$2$2$1,0$1,0$1,0$00:00:04,555
sleep(delay) --> await sleep(delay)$1$1$1,0$1,0$1,0$00:00:03,654
var buttonEl = this; --> var  buttonEl =  (this); $1$1$1,0$1,0$1,0$00:00:04,489
this.timeout(200); --> this.timeout(1500);$1$1$1,0$1,0$1,0$00:00:04,679
_ --> this.audioController = audioControllerFactory();$9$9$1,0$1,0$1,0$00:00:04,614
body = this.json(params); --> _$5$5$1,0$1,0$1,0$00:00:04,704
if (a != undefined) --> if (a)$1$1$1,0$1,0$1,0$00:00:04,555
if (value) {expressions.push(value); --> argsComma.push(value);$3$3$1,0$1,0$1,0$00:00:05,095
lastTradeTimestamp = timeFilled; --> lastTradeTimestamp = timeFilled * 1000;$2$2$1,0$1,0$1,0$00:00:04,717
if (roomUrl == null) --> if (roomUrl === null)$1$1$1,0$1,0$1,0$00:00:04,537
_ --> throw e;}return true;}$55$55$1,0$1,0$1,0$00:00:03,542
return app.ready(); --> _$3$3$1,0$1,0$1,0$00:00:04,435
while (true) --> while (current)$1$1$1,0$1,0$1,0$00:00:04,643
success_callback(); --> _$2$2$1,0$1,0$1,0$00:00:04,700
getDesktopStreamFailed(); --> getDesktopStreamFailed(error);$1$1$1,0$1,0$1,0$00:00:03,173
return input; --> return null;$7$7$1,0$1,0$1,0$00:00:04,571
_ --> 'hasCORS': LT,$178$178$1,0$1,0$1,0$00:00:05,019
_ --> ID.ID({routerClasses: 'page-current'});$4$4$1,0$1,0$1,0$00:00:03,961
var attr = new ID.Attr(ID, ID); --> var attr = this.ownerDocument.ID(ID, ID);$1$1$1,0$1,0$1,0$00:00:04,474
ID('skin-blue-light'); --> _$1$1$1,0$1,0$0,2$00:00:04,599
ID: relative; --> _$2$2$1,0$1,0$1,0$00:00:04,655
ID(delay) --> await ID(delay)$1$1$1,0$1,0$1,0$00:00:04,735
var buttonEl = ID<0>; --> var buttonEl = (ID<0>); $1$1$1,0$1,0$1,0$00:00:03,287
ID<0>.timeout(LT); --> ID<0>.timeout(LT);$46$46$1,0$1,0$1,0$00:00:04,830
_ --> ID.ID = audioControllerFactory();$9$9$1,0$1,0$1,0$00:00:04,698
body = this.ID(ID); --> _$14$14$1,0$1,0$1,0$00:00:04,736
if (ID<0> != undefined) --> if (ID<0>)$1$1$1,0$1,0$1,0$00:00:04,497
if (ID<0>) {expressions.push(ID<0>); --> argsComma.push(ID<0>);$3$3$1,0$1,0$1,0$00:00:05,158
ID<0> = timeFilled; --> ID<0> = timeFilled * 1000;$2$2$1,0$1,0$1,0$00:00:04,629
if (ID<0> == null) --> if (ID<0> === null)$1$1$1,0$1,0$1,0$00:00:04,723
_ --> throw e;}return LT;}$55$55$1,0$1,0$1,0$00:00:04,882
return ID.ready(); --> _$3$3$1,0$1,0$1,0$00:00:04,832
while (LT) --> while (ID)$1$1$1,0$1,0$1,0$00:00:03,207
ID(true); --> _$19$19$1,0$1,0$1,0$00:00:04,699
ID<0>(); --> ID<0>(error);$6$6$1,0$1,0$1,0$00:00:04,655
return ID; --> return null;$51$49$0,9607843137254902$0,9607843137254902$0,5$00:00:04,547
if(EXPR) --> if(EXPR),$285$269$0,9438596491228071$0,9438596491228071$1,0$00:00:05,023
_ --> ID.ID({ID: LT});$62$62$1,0$1,0$0,25$00:00:03,602
var attr = new ID.Attr(ID, ID); --> var attr = this.ownerDocument.ID(ID, ID);$1$1$1,0$1,0$1,0$00:00:04,474
ID(LT); --> _$470$441$0,9382978723404255$0,9382978723404255$1,0$00:00:04,748
ID: ID;  --> _$95$95$1,0$1,0$1,0$00:00:04,569
ID(ID) --> await ID(ID)$86$86$1,0$1,0$1,0$00:00:04,082
var ID = ID; --> var ID  = (ID);$1$1$1,0$1,0$1,0$00:00:04,027
ID<0>.ID<1>(LT); --> ID<0>.ID<1>(LT);$2153$1612$0,7487227124941942$0,7487227124941942$0,3333333333333333$00:00:03,487
_ --> ID.ID = ID();$30$30$1,0$1,0$0,25$00:00:04,737
ID = this.ID(ID); --> _$51$51$1,0$1,0$125$00:00:04,623
if (ID<0> != ID) --> if (ID<0>)$1$1$1,0$1,0$0,5$00:00:03,098
if (ID<0>) {ID.ID(ID<0>); --> ID.ID(ID<0>);$13$13$1,0$1,0$0,2$00:00:05,372
ID<0> = ID; --> ID<0> = ID * 1000;$2$2$1,0$1,0$1,0$00:00:04,752
if (ID<0> == LT) --> if (ID<0> === LT)$254$254$1,0$1,0$1,0$00:00:04,502
_ --> throw ID;}return LT;}$146$146$1,0$1,0$1,0$00:00:04,805
return ID.ID(); --> _$122$122$1,0$1,0$1,0$00:00:04,709
while (LT) --> while (EXPR)$1$1$1,0$1,0$1,0$00:00:03,302
ID(LT); --> _$470$441$0,9382978723404255$0,9382978723404255$1,0$00:00:04,748
ID<0>(); --> ID<0>(ID);$126$118$0,9365079365079365$0,9365079365079365$1,0$00:00:03,329
return ID; --> return LT;$216$167$0,7731481481481481$0,7731481481481481$0,3333333333333333$00:00:04,541
_ --> LT :LT,$28932$5000$0,1728190239181529$1,0$1,0$00:00:04,709
_ --> ID.ID({ID: EXPR});$89$89$1,0$1,0$1,0$00:00:03,573
var ID<0> = new ID.ID(<...>); -->var ID<0> = ID.ID.ID(<...>);$1$1$1,0$1,0$2,5207965717166626E-4$00:00:04,866
ID(<...>); --> _$4925$1023$0,20771573604060914$0,20771573604060914$1,0$00:00:04,529
ID: EXPR;-->_$97$97$1,0$1,0$1,0$00:00:04,042
ID<0>: LT --> ID<0>: LT$8204$4610$0,5619210141394442$922$1,0$00:00:03,800
<...> --> await <...>$2415$2415$1,0$1,0$1,0$00:00:04,841
var ID = <...>; --> var ID = ID(<...>);$524$435$0,8301526717557252$0,8301526717557252$1,0$00:00:04,874
this.ID<0>(EXPR); --> this.ID<0>(EXPR);$551$385$0,6987295825771325$0,6987295825771325$0,16666666666666666$00:00:05,106
_ --> ID.ID = ID(<...>);$443$391$0,8826185101580135$0,8826185101580135$1,0$00:00:04,719
ID = ID.ID(<...>); -->_$797$588$0,7377666248431619$0,7377666248431619$1,0$00:00:04,746
if (ID binOP ID) -->  if (<...>)$472$471$0,9978813559322034$0,9978813559322034$0,5$00:00:04,717
if (ID) { ID.ID(<...>); --><...>$131$107$0,816793893129771$0,816793893129771$0,05263157894736842$00:00:05,218
<...> = EXPR<0>;--><...> = EXPR<0> binOP EXPR;$99$53$0,5353535353535354$0,5353535353535354$0,2$00:00:04,791
if (ID<0> binOP null)-->if (ID<0> binOP null)$11$11$1,0$1,0$1,0$00:00:04,638
_-->throw EXPR;$176$176$1,0$1,0$1,0$00:00:03,424
return ID.ID(<...>);-->_$348$228$0,6551724137931034$0,6551724137931034$1,0$00:00:04,757
while (<...>) --> while (<...>)$38$38$1,0$1,0$1,0$00:00:04,802
ID(<...>);-->_$4925$1023$0,20771573604060914$0,20771573604060914$1,0$00:00:04,730
ID(<...>);-->ID(ID);$1348$585$0,43397626112759646$0,43397626112759646$1,0$00:00:03,769
