_ --> 'hasCORS': false,$0$0$1,0$NaN$0,0$00:00:02,295
_ --> this.setState({routerClasses: 'page-current'});$0$0$1,0$NaN$0,0$00:00:00,830
var attr = new core.Attr(name, value); --> var attr = this.ownerDocument.createAttribute(name, value);$0$0$1,0$NaN$0,0$00:00:00,670
change_skin('skin-blue-light'); --> _$0$0$1,0$NaN$0,0$00:00:00,777
position: relative; --> _$0$0$1,0$NaN$0,0$00:00:01,372
sleep(delay) --> await sleep(delay)$0$0$1,0$NaN$0,0$00:00:00,596
var buttonEl = this; --> var $buttonEl = $(this);$0$0$1,0$NaN$0,0$00:00:00,593
this.timeout(200); --> this.timeout(1500);$0$0$1,0$NaN$0,0$00:00:00,534
_ --> this.audioController = audioControllerFactory();$0$0$1,0$NaN$0,0$00:00:00,466
body = this.json(params); --> _$0$0$1,0$NaN$0,0$00:00:00,670
if (a != undefined) --> if (a)$0$0$1,0$NaN$0,0$00:00:00,997
if (value) {expressions.push(value); --> argsComma.push(value);$0$0$1,0$NaN$0,0$00:00:00,772
lastTradeTimestamp = timeFilled; --> lastTradeTimestamp = timeFilled * 1000;$0$0$1,0$NaN$0,0$00:00:00,695
if (roomUrl == null) --> if (roomUrl === null)$0$0$1,0$NaN$0,0$00:00:00,891
_ --> throw e;}return true;}$0$0$1,0$NaN$0,0$00:00:00,420
return app.ready(); --> _$0$0$1,0$NaN$0,0$00:00:00,653
while (true) --> while (current)$0$0$1,0$NaN$0,0$00:00:01,002
success_callback(); --> _$0$0$1,0$NaN$0,0$00:00:00,542
getDesktopStreamFailed(); --> getDesktopStreamFailed(error);$0$0$1,0$NaN$0,0$00:00:00,615
return input; --> return null;$0$0$1,0$NaN$0,0$00:00:00,568
_ --> 'hasCORS': LT,$0$0$1,0$NaN$0,0$00:00:00,393
_ --> ID.ID({routerClasses: 'page-current'});$0$0$1,0$NaN$0,0$00:00:00,974
var attr = new ID.Attr(ID, ID); --> var attr = this.ownerDocument.ID(ID, ID);$0$0$1,0$NaN$0,0$00:00:01,176
ID('skin-blue-light'); --> _$0$0$1,0$NaN$0,0$00:00:00,607
ID: relative; --> _$0$0$1,0$NaN$0,0$00:00:01,035
ID(delay) --> await ID(delay)$0$0$1,0$NaN$0,0$00:00:00,594
var buttonEl = ID<0>; --> var $buttonEl = $(ID<0>);$0$0$1,0$NaN$0,0$00:00:00,558
ID<0>.timeout(LT); --> ID<0>.timeout(LT);$0$0$1,0$NaN$0,0$00:00:00,581
_ --> ID.ID = audioControllerFactory();$0$0$1,0$NaN$0,0$00:00:00,584
body = this.ID(ID); --> _$0$0$1,0$NaN$0,0$00:00:00,674
if (ID<0> != undefined) --> if (ID<0>)$0$0$1,0$NaN$0,0$00:00:00,956
if (ID<0>) {expressions.push(ID<0>); --> argsComma.push(ID<0>);$0$0$1,0$NaN$0,0$00:00:00,733
ID<0> = timeFilled; --> ID<0> = timeFilled * 1000;$0$0$1,0$NaN$0,0$00:00:00,654
if (ID<0> == null) --> if (ID<0> === null)$0$0$1,0$NaN$0,0$00:00:00,834
_ --> throw e;}return LT;}$0$0$1,0$NaN$0,0$00:00:00,455
return ID.ready(); --> _$0$0$1,0$NaN$0,0$00:00:00,675
while (LT) --> while (ID)$0$0$1,0$NaN$0,0$00:00:01,109
ID(true); --> _$0$0$1,0$NaN$0,0$00:00:00,632
ID<0>(); --> ID<0>(error);$0$0$1,0$NaN$0,0$00:00:00,522
return ID; --> return null;$0$0$1,0$NaN$0,0$00:00:00,531
if(EXPR) --> if(EXPR),$0$0$1,0$NaN$0,0$00:00:01,025
_ --> ID.ID({ID: LT});$0$0$1,0$NaN$0,0$00:00:00,840
var attr = new ID.Attr(ID, ID); --> var attr = this.ownerDocument.ID(ID, ID);$0$0$1,0$NaN$0,0$00:00:01,176
ID(LT); --> _$0$0$1,0$NaN$0,0$00:00:00,644
ID: ID;  --> _$0$0$1,0$NaN$0,0$00:00:01,133
ID(ID) --> await ID(ID)$1$0$0,0$0,0$0,0$00:00:00,523
var ID = ID; --> var ID  = $(ID);$0$0$1,0$NaN$0,0$00:00:00,712
ID<0>.ID<1>(LT); --> ID<0>.ID<1>(LT);$0$0$1,0$NaN$0,0$00:00:00,510
_ --> ID.ID = ID();$0$0$1,0$NaN$0,0$00:00:00,422
ID = this.ID(ID); --> _$0$0$1,0$NaN$0,0$00:00:00,735
if (ID<0> != ID) --> if (ID<0>)$0$0$1,0$NaN$0,0$00:00:00,986
if (ID<0>) {ID.ID(ID<0>); --> ID.ID(ID<0>);$0$0$1,0$NaN$0,0$00:00:00,769
ID<0> = ID; --> ID<0> = ID * 1000;$0$0$1,0$NaN$0,0$00:00:00,655
if (ID<0> == LT) --> if (ID<0> === LT)$0$0$1,0$NaN$0,0$00:00:01,237
_ --> throw ID;}return LT;}$0$0$1,0$NaN$0,0$00:00:00,439
return ID.ID(); --> _$0$0$1,0$NaN$0,0$00:00:00,647
while (LT) --> while (EXPR)$0$0$1,0$NaN$0,0$00:00:00,956
ID(LT); --> _$0$0$1,0$NaN$0,0$00:00:00,644
ID<0>(); --> ID<0>(ID);$0$0$1,0$NaN$0,0$00:00:00,538
return ID; --> return LT;$0$0$1,0$NaN$0,0$00:00:00,453
_ --> LT :LT,$0$0$1,0$NaN$0,0$00:00:00,435
_ --> ID.ID({ID: EXPR});$0$0$1,0$NaN$0,0$00:00:00,771
var ID<0> = new ID.ID(<...>); -->var ID<0> = ID.ID.ID(<...>);$0$0$1,0$NaN$0,0$00:00:00,662
ID(<...>); --> _$0$0$1,0$NaN$0,0$00:00:00,519
ID: EXPR;-->_$0$0$1,0$NaN$0,0$00:00:01,098
ID<0>: LT --> ID<0>: LT$2369$2366$0,9987336428872943$0,9987336428872943$1,0$00:00:00,794
<...> --> await <...>$0$0$1,0$NaN$0,0$00:00:01,321
var ID = <...>; --> var ID = ID(<...>);$0$0$1,0$NaN$0,0$00:00:00,568
this.ID<0>(EXPR); --> this.ID<0>(EXPR);$0$0$1,0$NaN$0,0$00:00:00,556
_ --> ID.ID = ID(<...>);$0$0$1,0$NaN$0,0$00:00:00,512
ID = ID.ID(<...>); -->_$0$0$1,0$NaN$0,0$00:00:00,516
if (ID binOP ID) -->  if (<...>)$0$0$1,0$NaN$0,0$00:00:00,883
if (ID) { ID.ID(<...>); --><...>$0$0$1,0$NaN$0,0$00:00:00,709
<...> = EXPR<0>;--><...> = EXPR<0> binOP EXPR;$0$0$1,0$NaN$0,0$00:00:00,356
if (ID<0> binOP null)-->if (ID<0> binOP null)$0$0$1,0$NaN$0,0$00:00:00,832
_-->throw EXPR;$0$0$1,0$NaN$0,0$00:00:00,464
return ID.ID(<...>);-->_$0$0$1,0$NaN$0,0$00:00:00,667
while (<...>) --> while (<...>)$0$0$1,0$NaN$0,0$00:00:00,582
ID(<...>);-->_$0$0$1,0$NaN$0,0$00:00:04,087
ID(<...>);-->ID(ID);$2$2$1,0$1,0$1,0$00:00:00,500
